"Markettype","Trdwnt","Ndaytrd","Wnshrtrdtl","Wnvaltrdtl","Wretmdeq","Wretmdos","Wretmdtl","Wnstkcal","Wmvosd","Wmvttl"
"16","2010-06","5","396703437","15402716692.54","-0.050358","-0.043968","-0.039966","50","38516135.100","176958760.810"
"2","2010-06","5","275207884","291939904.00","-0.004257","-0.011653","-0.011592","53","11720834.340","17096441.410"
"1","2010-06","5","46609671345","543983158887.00","-0.008765","-0.014274","-0.016596","851","10788805112.630","16583866864.090"
"8","2010-06","5","283448039","1508510689.93","-0.019637","-0.033208","-0.032364","54","95354732.100","108463676.830"
"4","2010-06","5","28161810193","361962824733.46","-0.016677","-0.016035","-0.020297","795","3286933994.150","5345988220.320"
"16","2010-07","5","347201660","14090968111.32","0.088294","0.103548","0.096302","54","44461818.300","203766742.760"
"2","2010-07","5","183139057","237642368.00","0.022618","0.043904","0.056207","53","12235437.080","18057383.850"
"1","2010-07","5","29207683240","338491950736.00","0.024520","0.026480","0.026685","848","11069652985.840","17044236583.120"
"8","2010-07","5","190304321","1046372257.46","0.038751","0.029788","0.032456","54","98195241.900","111984000.120"
"4","2010-07","5","17159427254","225978865654.14","0.033886","0.029231","0.031126","805","3393089397.870","5646691508.920"
"16","2010-09","5","490139575","20274022238.97","0.061600","0.060320","0.058539","58","50499115.600","232450671.270"
"2","2010-09","5","212847944","227509726.00","0.019035","0.015086","0.013082","53","12420026.740","18293627.600"
"1","2010-09","5","46065555499","541414311422.00","0.047182","0.013287","0.011276","851","11251430162.910","17388828739.050"
"8","2010-09","5","273788460","1612326096.21","0.016578","0.021121","0.020059","54","100269232.520","114230356.870"
"4","2010-09","5","27073973854","359048876422.37","0.054292","0.037523","0.036884","805","3529979343.450","5854967955.770"
"16","2010-10","5","489310281","21706923890.55","-0.012987","0.001026","-0.001541","58","50550961.300","232092350.160"
"2","2010-10","5","269349891","284405128.00","0.004785","-0.006702","-0.009919","53","12336781.980","18112166.660"
"1","2010-10","5","54947309837","641144988455.00","-0.003763","-0.005935","-0.006552","846","10987490936.620","16960444486.970"
"8","2010-10","5","338772347","2100377607.39","0.004028","0.016350","0.012881","54","101908723.650","115701814.840"
"4","2010-10","5","34520215795","463190969807.55","-0.004484","-0.008931","-0.009753","811","3511049522.220","5822489383.220"
"16","2010-11","5","489193854","21938629982.40","0.056661","0.039878","0.041452","58","52562826.700","241692934.050"
"2","2010-11","5","208213002","218150197.00","-0.014888","-0.018318","-0.020379","53","12110793.290","17743044.540"
"1","2010-11","5","40721568235","478030175707.00","-0.018004","-0.006287","-0.005674","846","10935629015.060","16940693630.950"
"8","2010-11","5","270542732","1684208844.20","-0.001509","0.004293","0.003507","54","102346310.580","116107678.840"
"4","2010-11","5","24391867835","332856278855.50","-0.013136","-0.018005","-0.014094","813","3453433541.680","5755787634.040"
"16","2010-12","5","466017841","20715949172.84","0.020671","0.031396","0.030346","61","56758473.200","261648673.860"
"2","2010-12","5","198318036","200735394.00","0.028274","0.027062","0.026693","53","12438541.150","18216676.090"
"1","2010-12","5","38834059121","460105045297.00","0.036607","0.020560","0.018090","850","11451546758.110","17536413444.710"
"8","2010-12","5","324438219","1903070388.03","0.024832","0.023274","0.024374","54","104672454.270","118881894.880"
"4","2010-12","5","22979771422","316620197733.13","0.039662","0.029341","0.029948","818","3562166091.680","5943368454.650"
"16","2010-13","5","736506143","34007827898.71","0.051518","0.071806","0.068713","65","65293783.400","294383726.830"
"2","2010-13","5","212716934","217613864.00","0.001137","-0.000047","-0.001952","53","12437955.230","18181100.590"
"1","2010-13","5","45977405436","538433704356.00","0.004170","0.000124","-0.002367","848","11457766638.490","17499522022.210"
"8","2010-13","5","331117215","1951515233.56","0.000093","-0.010346","-0.008662","54","103589474.080","117852042.140"
"4","2010-13","5","27294548663","383716493516.21","0.010131","0.000986","0.002032","819","3564859652.110","5940751964.720"
"16","2010-14","5","800823897","39024773891.91","0.049741","0.046161","0.049310","65","68307869.900","308900098.990"
"2","2010-14","5","242321997","297762316.00","0.018738","0.037462","0.048534","53","12903914.990","19063512.140"
"1","2010-14","5","58261535592","705208559794.00","0.034968","0.032660","0.032120","853","11851222858.440","18134597253.740"
"8","2010-14","5","339904462","2018521225.75","0.030488","0.029150","0.027937","54","106609204.890","121144550.320"
"4","2010-14","5","31711323156","472229907953.95","0.041154","0.040213","0.041664","825","3736989269.170","6228536388.260"
"16","2010-15","4","572890956","29159419747.86","0.062047","0.072328","0.070680","65","74497395.100","330733323.820"
"2","2010-15","4","238002476","272998290.00","0.008296","0.011076","0.015781","53","13046847.000","19364355.890"
"1","2010-15","4","43802559680","545264514000.00","0.016122","-0.003312","-0.003586","853","11819277561.460","18070008564.930"
"8","2010-15","4","347670415","2320916470.38","0.017739","0.010938","0.015249","52","106715804.780","120850476.070"
"4","2010-15","4","26708509196","407207476319.99","0.023281","0.009053","0.010282","826","3776643471.100","6335792881.020"
"16","2010-16","5","711260427","37129321607.59","-0.095555","-0.090598","-0.090941","65","67730715.400","300586935.770"
"2","2010-16","5","321843812","331910529.00","-0.009442","-0.010989","-0.010144","53","12903464.130","19167912.300"
"1","2010-16","5","57236097602","735064471915.00","-0.006976","-0.007281","-0.004646","854","11754539081.080","17994728222.170"
"8","2010-16","5","498286810","3152805097.43","0.002403","-0.006426","-0.004910","53","106305019.130","120532449.930"
"4","2010-16","5","37021078876","556649021668.63","-0.013800","-0.007981","-0.014138","831","3777715776.760","6280175468.840"
"16","2010-17","5","778767746","39913968958.23","0.014836","0.009489","0.012043","70","78426850.300","346416587.610"
"2","2010-17","5","288294040","328303024.00","-0.027146","-0.007283","0.003963","53","12809478.750","19243887.150"
"1","2010-17","5","56976370451","714183993919.00","-0.019575","-0.045979","-0.047783","849","10985882614.640","16885087246.860"
"8","2010-17","5","540950463","3359944601.71","-0.028509","-0.035433","-0.032559","53","102538255.460","116607949.110"
"4","2010-17","5","37345030156","544800720561.37","-0.005419","-0.023127","-0.022046","834","3731680566.600","6167709059.420"
"16","2010-18","5","686186693","36533618890.98","-0.115956","-0.123807","-0.121537","78","78420975.020","352572324.880"
